2.054890961 7.881   -0.782451115
2.909671447 11.167  -1.100218464
3.727731345 16.194  0.477828734
4.516844401 19.511  0.467916253
5.396494242 23.836  1.08429933
1.869020544 6.934   -0.945818649
2.682896874 11.697  0.385866534
3.499421914 15.892  1.138384721
4.311992122 19.689  1.509576533
5.189672835 23.724  1.844261483
2.014934905 10.5    2.005004218
2.819141292 13.99   2.104458024
3.663658445 17.463  2.016961041
4.483677526 22.24   3.336748296
5.375642703 26.498  3.83420973
2.185844591 8.421324	-0.794229584
3.004080186 12.69232	0.027072875
3.825650701 16.595351	0.46635026
4.655764048 20.390475	0.761703936
5.505674755 24.561782	1.349774649
2.487107888 11.470413	0.984728839
3.316790281 15.407411	1.423773424
4.138698929 19.607109	2.158292235
4.961638551 23.354021	2.435678443
4.913239113 23.793202	3.0789122
4.234655787 18.752496	0.899123681
3.985153369 18.554964	1.753497617
5.332968322 24.238928	1.755053561
5.086906905 22.785911	1.339435185
3.746650221 17.185242	1.389308468
4.443045203 20.431738	1.699792778
4.795283716 22.631201	2.414212925
5.025900408 23.560429	2.371157492
5.012418181 23.665216	2.532785763
5.012133088 23.916819	2.785590718
2.846821793 12.632998	0.630754619
3.203923455 14.834967	1.327177657
3.293734247 15.090174	1.203741007
3.550486636 17.029894	2.060989086
3.794433063 18.712365	2.714978288
3.782263588 16.396113	0.450032978
4.381945885 20.335943	1.861593419
4.37860102  20.273523	1.813275421
